name,row_type,numerical_derivatives_skipped,dynamic_total_ms,dynamic_residual_ms,dynamic_analytic_jacobian_ms,dynamic_forward_difference_ms,dynamic_central_difference_ms,static_total_ms,static_residual_ms,static_analytic_jacobian_ms,static_forward_difference_ms,static_central_difference_ms,residual_count,residual_max_abs,residual_max_rel,residual_rms_abs,residual_rms_rel,analytic_count,analytic_max_abs,analytic_max_rel,analytic_rms_abs,analytic_rms_rel,forward_difference_count,forward_difference_max_abs,forward_difference_max_rel,forward_difference_rms_abs,forward_difference_rms_rel,central_difference_count,central_difference_max_abs,central_difference_max_rel,central_difference_rms_abs,central_difference_rms_rel
Hahn1,problem,true,0.13270442187500001,0.013248703124999999,0.11945571875,0,0,0.11144728124999999,0.013553390624999998,0.097893890624999993,0,0,708,0,0,0,0,4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirby2,problem,true,0.065461578125000003,0.0075703124999999998,0.057891265625,0,0,0.052356093750000006,0.0072903437499999999,0.045065750000000002,0,0,453,0,0,0,0,2265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanczos1,problem,false,0.043263015624999998,0.003158203125,0.014425765624999998,0.0108639375,0.014815109375,0.039147796874999995,0.0031035156250000004,0.013292328125000001,0.0094394531249999986,0.0133125,72,0,0,0,0,432,0,0,0,0,144,1.3843287405279625e-08,5.6456148969949899e-07,2.8375489079057895e-09,7.9126075268763988e-08,144,2.4089064076804334e-11,4.2048582925584439e-09,5.5139888751742388e-12,4.2689644206954376e-10
Lanczos2,problem,false,0.043973968750000002,0.0032343749999999998,0.014835296874999999,0.011065749999999999,0.014838546874999999,0.038697890625000002,0.0031653593750000002,0.0128111875,0.0094954375000000004,0.013225906250000001,72,0,0,0,0,432,0,0,0,0,144,1.9084385516343616e-08,1.5079550062832371e-06,4.0821284832349815e-09,1.6710939287082595e-07,144,2.2364757615300768e-11,4.8868389509925515e-09,4.300932099303366e-12,4.2930653089584145e-10
Lanczos3,problem,false,0.044007171875000001,0.0032272187499999996,0.0148359375,0.011063156249999999,0.014880859375,0.040513015625000003,0.00312565625,0.012625640625,0.0096966250000000004,0.015065093750000001,72,0,0,0,0,432,0,0,0,0,144,2.0899729946677326e-08,2.7139319692943293e-06,3.6409404643364332e-09,2.6219889222619005e-07,144,2.6068258662803601e-11,1.2834164908114151e-09,5.1309145225080011e-12,1.5578135428874543e-10
MGH09,problem,true,0.0070533906250000011,0.0020703125000000001,0.004983078125000001,0,0,0.0064310156249999997,0.0020221406250000001,0.0044088749999999996,0,0,33,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGH10,problem,false,0.016931625000000002,0.002206375,0.0059576875000000003,0.0038658749999999995,0.0049016874999999998,0.01569728125,0.0022532656250000001,0.0053574218749999998,0.0035201875000000003,0.0045664062499999993,48,0,0,0,0,144,0,0,0,0,48,0.00037853512912988663,1.2022093064849325e-07,7.0983642004944088e-05,8.7880425569410074e-08,48,2.2074768821767066e-06,1.6037806571776774e-09,5.14954554176037e-07,1.0061596281274186e-09
MGH17,problem,false,0.041134093750000003,0.0030625000000000001,0.01356184375,0.010608718750000001,0.013901031249999999,0.036983734374999994,0.0030618437500000003,0.011486984374999998,0.0089921874999999984,0.013442718750000001,99,0,0,0,0,495,0,0,0,0,165,4.711640109178461e-05,2.3848677395191734e-06,1.6020202726095157e-05,8.8192138193830766e-07,165,7.4625648593951155e-06,6.2581340902413742e-07,2.4618421735319111e-06,1.8112066781168487e-07
Misra1a,problem,false,0.012376953125,0.0021204374999999999,0.0043990937499999994,0.0026302187499999997,0.003227203125,0.01126040625,0.0020299531250000001,0.0039772031249999994,0.0023476562499999999,0.0029055937500000002,42,0,0,0,0,84,0,0,0,0,28,0.67689614866685588,5.6624248003127105e-06,0.22436362936754728,2.2615387200838361e-06,28,0.42197767416655552,3.529960765894335e-06,0.11846168273986799,1.0947787472317903e-06
Misra1b,problem,false,0.014822265625000001,0.0025169375000000001,0.005625640625,0.0028886718750000002,0.0037910156250000001,0.013586593750000001,0.0024967343749999998,0.0049349062500000001,0.002646484375,0.0035084687499999999,42,0,0,0,0,84,0,0,0,0,28,1.2546531037660316,7.3963560592549001e-06,0.42399629880494122,3.0585932128178168e-06,28,1.3622339302091859,8.0305601234173705e-06,0.39285325440089458,2.5944620634416345e-06
Misra1c,problem,false,0.012743484374999999,0.0020898437500000006,0.0047786406249999995,0.0026783906249999998,0.0031966093749999998,0.01143559375,0.0019980625000000003,0.0042096562499999999,0.0023535156249999997,0.0028743593750000002,42,0,0,0,0,84,0,0,0,0,28,4.1327398155699484,1.2904501902807523e-05,1.4220962971468012,5.5172668268015602e-06,28,9.7863367344252765,3.0557888143628451e-05,2.8964959107189925,1.0278382442027373e-05
Misra1d,problem,false,0.0117799375,0.0020338593749999996,0.0039850156250000003,0.0026093749999999997,0.0031516875,0.010703109375,0.0020013124999999996,0.0035110624999999999,0.0022936093750000001,0.002897125,42,0,0,0,0,84,0,0,0,0,28,2.0242546157096513,9.2091751526958438e-06,0.69039312450598678,3.8729220960876801e-06,28,3.0786000260850415,1.4005830415444988e-05,0.89954453922990041,4.6173706892252971e-06
